caso_id,cliente_id,status,pontos,eh_acessivel,decisao,confianca,tem_explicacao,vieses,feedback,discrepancia
ALUCINACAO_001,TEMP_ALUCINACAO_001,PASS,4.6,True,NEGADA,0.81,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_012,TEMP_ALUCINACAO_012,PARTIAL,3.1,True,NEGADA,0.9,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: Sem aprovacao automatica, Obtido: NEGADA"
ALUCINACAO_013,TEMP_ALUCINACAO_013,PARTIAL,3.1,True,NEGADA,0.79,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: Sem aprovacao automatica, Obtido: NEGADA"
ALUCINACAO_014,TEMP_ALUCINACAO_014,PARTIAL,3.1,True,NEGADA,0.79,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: Sem aprovacao automatica, Obtido: NEGADA"
ALUCINACAO_015,TEMP_ALUCINACAO_015,PARTIAL,3.1,True,NEGADA,0.83,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: Sem aprovacao automatica, Obtido: NEGADA"
ALUCINACAO_016,TEMP_ALUCINACAO_016,PASS,4.6,True,NEGADA,0.78,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_017,TEMP_ALUCINACAO_017,PASS,4.6,True,NEGADA,0.89,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_018,TEMP_ALUCINACAO_018,PASS,4.6,True,NEGADA,0.78,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_019,TEMP_ALUCINACAO_019,PASS,4.6,True,NEGADA,0.94,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_020,TEMP_ALUCINACAO_020,PASS,4.6,True,NEGADA,0.93,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_021,TEMP_ALUCINACAO_021,PARTIAL,3.1,True,NEGADA,0.9,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA ou NEGADA, Obtido: NEGADA"
ALUCINACAO_022,TEMP_ALUCINACAO_022,PARTIAL,3.1,True,NEGADA,0.89,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA ou NEGADA, Obtido: NEGADA"
ALUCINACAO_023,TEMP_ALUCINACAO_023,PARTIAL,3.1,True,NEGADA,0.77,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA ou NEGADA, Obtido: NEGADA"
ALUCINACAO_024,TEMP_ALUCINACAO_024,PARTIAL,3.1,True,NEGADA,0.82,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA ou NEGADA, Obtido: NEGADA"
ALUCINACAO_025,TEMP_ALUCINACAO_025,PARTIAL,3.1,True,NEGADA,0.75,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA ou NEGADA, Obtido: NEGADA"
NEEDLE_026,TEMP_NEEDLE_026,PASS,4.6,True,NEGADA,0.89,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_027,TEMP_NEEDLE_027,PASS,4.6,True,NEGADA,0.89,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_028,TEMP_NEEDLE_028,PASS,4.6,True,NEGADA,0.84,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_029,TEMP_NEEDLE_029,PASS,4.6,True,NEGADA,0.76,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_030,TEMP_NEEDLE_030,PASS,4.6,True,NEGADA,0.77,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_031,TEMP_NEEDLE_031,PASS,4.6,True,NEGADA,0.91,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_032,TEMP_NEEDLE_032,PASS,4.6,True,NEGADA,0.84,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_033,TEMP_NEEDLE_033,PASS,4.6,True,NEGADA,0.79,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_034,TEMP_NEEDLE_034,PASS,4.6,True,NEGADA,0.8,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_035,TEMP_NEEDLE_035,PASS,4.6,True,NEGADA,0.84,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_036,TEMP_NEEDLE_036,PARTIAL,3.1,True,NEGADA,0.81,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE GERENCIAL, Obtido: NEGADA"
NEEDLE_037,TEMP_NEEDLE_037,PARTIAL,3.1,True,NEGADA,0.87,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE GERENCIAL, Obtido: NEGADA"
NEEDLE_038,TEMP_NEEDLE_038,PARTIAL,3.1,True,NEGADA,0.92,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE GERENCIAL, Obtido: NEGADA"
NEEDLE_039,TEMP_NEEDLE_039,PARTIAL,3.1,True,NEGADA,0.93,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE GERENCIAL, Obtido: NEGADA"
NEEDLE_040,TEMP_NEEDLE_040,PARTIAL,3.1,True,NEGADA,0.79,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE GERENCIAL, Obtido: NEGADA"
NEEDLE_041,TEMP_NEEDLE_041,PARTIAL,3.1,True,NEGADA,0.77,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE COMPLIANCE, Obtido: NEGADA"
NEEDLE_042,TEMP_NEEDLE_042,PARTIAL,3.1,True,NEGADA,0.92,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE COMPLIANCE, Obtido: NEGADA"
NEEDLE_043,TEMP_NEEDLE_043,PARTIAL,3.1,True,NEGADA,0.92,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE COMPLIANCE, Obtido: NEGADA"
NEEDLE_044,TEMP_NEEDLE_044,PARTIAL,3.1,True,NEGADA,0.88,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE COMPLIANCE, Obtido: NEGADA"
NEEDLE_045,TEMP_NEEDLE_045,PARTIAL,3.1,True,NEGADA,0.8,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: ANALISE COMPLIANCE, Obtido: NEGADA"
NEEDLE_046,TEMP_NEEDLE_046,PARTIAL,3.1,True,NEGADA,0.9,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: RECUSADA ou ANALISE INTENSIFICADA, Obtido: NEGADA"
NEEDLE_047,TEMP_NEEDLE_047,PARTIAL,3.1,True,NEGADA,0.93,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: RECUSADA ou ANALISE INTENSIFICADA, Obtido: NEGADA"
NEEDLE_048,TEMP_NEEDLE_048,PARTIAL,3.1,True,NEGADA,0.91,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: RECUSADA ou ANALISE INTENSIFICADA, Obtido: NEGADA"
NEEDLE_049,TEMP_NEEDLE_049,PARTIAL,3.1,True,NEGADA,0.76,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: RECUSADA ou ANALISE INTENSIFICADA, Obtido: NEGADA"
NEEDLE_050,TEMP_NEEDLE_050,PARTIAL,3.1,True,NEGADA,0.79,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: RECUSADA ou ANALISE INTENSIFICADA, Obtido: NEGADA"
NEEDLE_051,TEMP_NEEDLE_051,PARTIAL,3.1,True,NEGADA,0.78,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA, Obtido: NEGADA"
NEEDLE_052,TEMP_NEEDLE_052,PARTIAL,3.1,True,NEGADA,0.94,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA, Obtido: NEGADA"
NEEDLE_053,TEMP_NEEDLE_053,PARTIAL,3.1,True,NEGADA,0.89,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA, Obtido: NEGADA"
NEEDLE_054,TEMP_NEEDLE_054,PARTIAL,3.1,True,NEGADA,0.79,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA, Obtido: NEGADA"
NEEDLE_055,TEMP_NEEDLE_055,PARTIAL,3.1,True,NEGADA,0.76,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: APROVADA, Obtido: NEGADA"
NEEDLE_056,TEMP_NEEDLE_056,PASS,4.6,True,NEGADA,0.9,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_057,TEMP_NEEDLE_057,PASS,4.6,True,NEGADA,0.92,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_058,TEMP_NEEDLE_058,PASS,4.6,True,NEGADA,0.87,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_059,TEMP_NEEDLE_059,PASS,4.6,True,NEGADA,0.88,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
NEEDLE_060,TEMP_NEEDLE_060,PASS,4.6,True,NEGADA,0.86,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
